"MA_ID","number_of_FAIR_assessments","FAIR_assessment_names_conc","data_GUPID_presence","data_GUPID_presence_recat","data_GUPID","data_sharing_location","data_sharing_location_recat","data_sharing_location_recat_bin","data_metadata_presence","data_metadata_type","data_downloadable","data_licence_presence","data_licence_presence_recat","data_dictionary_presence","data_type","data_type_FAIR","data_metadata_comments_conc","data_downloadable_comments_conc","data_type_comments_conc","data_dictionary_comments_conc","article_links2data"
"MA_001",1,"Edward Ivimey-Cook","Digital Object Identifier (DOI)","Yes","10.5061/dryad.qv000","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","No",".csv/tsv;.tre","Yes","Also includes R Code. Doesn't contain methodology information in the repository.",NA,".tre for phylogeny data",NA,"Yes"
"MA_002",1,"Heikel Balti","Digital Object Identifier (DOI)","Yes","10.5683/SP2/RRJTEN","DataVerse","Repository","Yes","Yes","As README file/ .txt file; As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","Yes",".csv/tsv","Yes",NA,NA,NA,"Here's the concerned text:""Variable descriptions are as follows: study: Author/Date format of study dataset variable: Ecological variable extracted (e.g. soil temperature, bee abundance) label: specific variable descriptor (for graphics only) year: Year of study study_no: Unique ID for each study journal: Journal where published (* indicates unpublished data) source: Unique combination of study + variable type: Category of variable (e.g. Invertebrate) moderator_cat3: Categorical moderator representing the difference in intensity between the control and treatment (i.e. low-intensity mowing and high-intensity mowing); 3 Categories moderator_cat4: Categorical moderator representing the difference in intensity between the control and treatment (i.e. low-intensity mowing and high-intensity mowing); 4 Categories moderator_cat2: Categorical moderator representing the difference in intensity between the control and treatment (i.e. low-intensity mowing and high-intensity mowing); 2 Categories ctrl_mod: Categorical moderator representing the level of disturbance of the control sites within the study n1i: Number of data points for Treatment m1i: Mean value (Hedges' g) for Treatment sd1i: Standard deviation of Treatment n2i: Number of data points for Control m2i: Mean value (Hedges' g) for Control sd2i: Standard deviation of Control""","Yes"
"MA_003",1,"Pietro Pollo","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","No","Meta-data is not shared","Yes","Publisher copyright/Rights reserved","No","Yes",".csv/tsv","Yes","Codebook as Table S8 in another supplementary file","It is currently accessible, but because it is not linked to a permanent repository, then it might not be always accessible (?)",NA,"Table S8 provides the explanation and units of every variable in the dataset","Yes"
"MA_004",1,"Antica Culina","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","No","Meta-data is not shared","Yes","Publisher copyright/Rights reserved","No","No",".pdf","No","Data are in the Supplement of the article, so they do not have a unique ID. Given that the data is in the supplement, one can argue that they have the meta-data related to the article itself (however, I have chosen that meta-data is not shared)","Data can be downloaded within the overall supplement (PDF) which contains other info too.",NA,NA,"Yes"
"MA_005",1,"Losia Lagisz","Digital Object Identifier (DOI)","Yes","10.5061/dryad.nc57k7g","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","No",".csv/tsv","Yes",NA,NA,NA,NA,"Yes"
"MA_006",1,"Nicholas Moran","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","No","Meta-data is not shared","Yes","Publisher copyright/Rights reserved","No","No",".csv/tsv","Yes","The paper gives the DOI for the published article itself as the identifier for data (""Supplementary data to this article can be found online at http://dx.doi.org/10.1016/j.biocon.2016.02.020.""). No specific metadata provided specifically with the files.","Data downloadable as supplementary materials (4x .csv files) from the published article online",NA,NA,"Yes"
"MA_010",1,"Nerea Piñeiro-Juncal","Digital Object Identifier (DOI)","Yes","10.5061/dryad.4mw6m906t","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","Yes",".csv/tsv","Yes",NA,NA,NA,"as a separate csv file","Yes"
"MA_012",1,"Heikel Balti","Digital Object Identifier (DOI)","Yes","10.6084/m9.figshare.9736532;10.6084/m9.figshare.9750605","Figshare","Repository","Yes","Yes","As part of the data repository","Yes","CC BY (Attribution)","Yes","Yes",".csv/tsv","Yes","Tricky one (you might want to double check): 
2 separate figshare doi are shared by the authors. So I've considered that the authors shared data. HOWEVER, in the data availability statement they write: ""Susceptibility data are part of a larger data set which will be added to figshare upon publication of the relevant manuscript; before that point, the data used in this study will be made available upon request.""

But I did not find any dataset corresponding to these susceptibility data in either figshare record.

Also, in one of the figshare, they write ""Some unpublished data points used in the associated paper have been omitted from this public dataset at their owners' request. For the omitted data, please contact data owners:
SERC survey unpublished data: Gregory Ruiz (ruizg@si.edu)
Fowler unpublished data: Amy Fowler (afowler6@gmu.edu)""",NA,NA,"Here's the data dictionnary of both: 
""Each row is a single crab; all crabs >= 2 mm were removed from crab collectors. Detail on sampling sites and times are given in the associated ""RL_site_metadata.csv"" metadata file.

Columns:
Site = estuary code (coordinates in metadata)
Status = parasite status (Native, Invasive, Absent)
Subsite = subsite code (coordinates in metadata)
Trap = 1-2 traps deployed at each subsite
Time = sampling date
Species = crab species
Sex = crab sex: M(ale), F(emale), I(ndeterminate)
Ovigerous = crab ovigery: Y(es), N(o)
Loxo = parasite presence: Y(es), N(o)
Loxo_bin = binary parasite presence: 1 (present), 0 (absent)
Virgin = number of virgin parasite externae
Mature = number of mature parasite externae
Scar = number of parasite externae scars
CW = carapace width of crab""

and 
""
Each row is a single parasite prevalence record.

Columns:
Host = Host species, genus: R(hithropanopeus), E(urydepressus)
Site = Site name from source study
State = US state for site
Status = parasite status (Native, Invasive, Absent)
Latitude
Longitude
Month = month of collection, nd = no data given
Year = year of collection
N = number of crabs examined
Prevalence = prevalence of L. panopaei parasite
Para_bin = binary parasite presence: 1 (present), 0 (absent)
Reference = source citation for record; full citation listing given in the associated paper""","Yes"
"MA_014",1,"Pietro Pollo","Digital Object Identifier (DOI)","Yes","10.5061/dryad.1h1f63h","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","Yes",".xlsx","Partial","codebook exists as a tab in the data spreadsheet, but no separate metadata file",NA,NA,"second tab within the spreadsheet containing the data, simply explaining the variables in the dataset and their possible values","Yes"
"MA_015",1,"Alicia Foxx","Digital Object Identifier (DOI)","Yes","10.5061/dryad.b0bp357","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","Yes",".csv/tsv","Yes",NA,NA,NA,"Each variable of the dataset is included in one column and the meaning is included in the neighboring column.","Yes"
"MA_017",1,"Nicholas Moran","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","No","Meta-data is not shared","Yes","Publisher copyright/Rights reserved","No","No",".pdf","No","Data provided as supplementary materials with published article online, which is linked via the article's DOI (10.1016/j.agee.2016.08.019)",NA,"Data is within tables in the PDF",NA,"Yes"
"MA_018",2,"Antica Culina; Matt Lloyd Jones","Digital Object Identifier (DOI)","Yes","10.5061/dryad.547d7wm4r","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","No",".xlsx","Partial",NA,NA,NA,"NA; No data dictionary from what I can see though the column names are quite explicit. Though things like 'sample size' are hard to interpret (without the paper at least) and important.","Yes"
"MA_019",1,"Nerea Piñeiro-Juncal","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","No","Meta-data is not shared","Yes","Publisher copyright/Rights reserved","No","No",".xlsx","Partial","The data base is supp material, so I assumed that the DOI of the article identifies the data",NA,NA,NA,"Yes"
"MA_020",2,"Heikel Balti; Losia Lagisz","Digital Object Identifier (DOI)","Yes","10.5061/dryad.6cm5d7f","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","Yes",".xlsx","Partial",NA,NA,NA,"Explanation of each variable; ""explanations of the column headers in the ""meta-analysis"" spreadsheet. ""","Yes"
"MA_021",1,"Edward Ivimey-Cook","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","No","Meta-data is not shared","Yes","Publisher copyright/Rights reserved","No","No",".xlsx","Partial","Shared as a xlsx file with three sheets.","Supp Matt excel file can be downloaded",NA,NA,"Yes"
"MA_022",1,"Matt Lloyd Jones","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","Yes","As .xlsx tab","Yes","Publisher copyright/Rights reserved","No","Yes",".xlsx","Partial",NA,NA,NA,NA,"Yes"
"MA_024",1,"Alicia Foxx","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","No","Meta-data is not shared","Yes","Publisher copyright/Rights reserved","No","No",".doc","No",NA,"The data is presented in a table in a word doc as SI","data are presented in a table in a word doc as SI",NA,"Yes"
"MA_025",1,"Gabe Winter","Digital Object Identifier (DOI)","Yes","10.5061/dryad.085jj60","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","No",".csv/tsv","Yes",NA,NA,NA,NA,"Yes"
"MA_026",1,"Pietro Pollo","No unique and persistent identifier associated with the data","No",NA,"Figshare","Repository","Yes","No","Meta-data is not shared","Yes","CC BY (Attribution)","Yes","No",".csv/tsv","Yes",NA,"from the link https://figshare.com/s/3eebaf42e161c0e7e1ef?file=13199204",NA,NA,"Yes"
"MA_027",2,"Pietro Pollo; Gabe Winter","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","No","Meta-data is not shared","Yes","Publisher copyright/Rights reserved","No","Yes",".xlsx","Partial",NA,NA,NA,"NA; Data dictionary provided as tables in a word file among other supplementary informations. Contains a column with the variable name and a columns with description (however, not all variables are described and some column names do not match the name in data dictionary)","Yes"
"MA_028",1,"Ryan Field","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","No","Meta-data is not shared","Yes","Publisher copyright/Rights reserved","No","Yes",".xls","Partial",NA,"Not open access, but the data is available without sign-in",NA,"List of variables and what they mean, however, missing some levels for intensity.","Yes"
"MA_029",2,"Nerea Piñeiro-Juncal; Matt Lloyd Jones","Handle (link has hdl or handle.net)","Yes","hdl.handle.net/11299/208786","Institutional repository","Repository","Yes","Yes","As part of the data repository","Yes","CC BY-NC (Attribution, NonCommercial)","Yes","No",".csv/tsv","Yes","Metadata present in the institutional repository; Metadata present in the institutional repository","The data is shared as an apendix, it can not be downloaded but it can be copy pasted; ","; Shouldn't be asked this if selected data not shared","NA; NA","Yes"
"MA_030",1,"Gabe Winter","Digital Object Identifier (DOI)","Yes","10.5061/dryad.59kv753","Dryad","Repository","Yes","Yes","As README file/ .txt file; As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","No",".csv/tsv","Yes","Metadata for the whole data is provided in Dryad, and metadata for each individual data file is provided as a README file",NA,NA,NA,"Yes"
"MA_031",1,"Losia Lagisz","Digital Object Identifier (DOI)","Yes","10.5061/dryad.kj67m68","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","Yes",".csv/tsv","Yes",NA,NA,NA,"short sescriptions of variables in README_for_Data.txt","Yes"
"MA_032",2,"Antica Culina; Heikel Balti","Digital Object Identifier (DOI)","Yes","10.5061/dryad.pk8hp","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","No",".txt","Yes","; I found the dryad repositery by myself using google, in the publication authors say ""Data will beavailable in Dryad once the paper is published."", but the link is nowhere to be found neither in the publication (as expected) nor in the publicaiton page of the publisher ""https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.12660""",NA,NA,"NA; NA","No"
"MA_033",1,"Edward Ivimey-Cook","Digital Object Identifier (DOI)","Yes","10.6084/m9.figshare.7763570","Figshare","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","No",".xlsx","Partial","No metadata in the repo only - All explanations for the data are provided in the MS and associated SI.",NA,NA,NA,"Yes"
"MA_034",1,"Ryan Field","Digital Object Identifier (DOI)","Yes","10.5061/dryad.1756f","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","No",".xlsx","Partial",NA,NA,NA,NA,"Yes"
"MA_035",1,"Pietro Pollo","Digital Object Identifier (DOI)","Yes","10.5061/dryad.b38k42m","Dryad;GitHub or GitLab","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication);GNU","Yes","Yes",".csv/tsv","Yes",NA,NA,"The dataset is a csv file, but there is also a list of extracted articles in a .xlsx file (I did not count that as data when answering the previous question)","There is a description of the variables as part of the repository Usage notes","Yes"
"MA_036",1,"Gabe Winter","Digital Object Identifier (DOI)","Yes","10.34894/LIPKUD","DataVerse","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","Yes",".xlsx","Partial",NA,NA,NA,"There is an additional row (Row 1) with a longer name for each column, containing a very brief description and the units (when necessary) of each variable","Yes"
"MA_037",1,"Heikel Balti","Digital Object Identifier (DOI)","Yes","10.6084/m9.figshare.c.5230301.v1;10.6084/m9.figshare.13336604;10.6084/m9.figshare.13336613","Figshare","Repository","Yes","Yes","As part of the data repository","Yes","CC BY (Attribution)","Yes","Yes",".xlsx","Partial",NA,NA,NA,"What each columns means, nature (e.g., numerical, categorical, proportion) of each variables, buit not the units","Yes"
"MA_038",2,"Ryan Field; Losia Lagisz","Digital Object Identifier (DOI)","Yes","10.5061/dryad.j6q573n8q","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","No",".xlsx","Partial",NA,NA,NA,"NA; NA","Yes"
"MA_039",2,"Nerea Piñeiro-Juncal; Nicholas Moran","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","Yes","As .xlsx tab","Yes","Publisher copyright/Rights reserved","No","Yes",".xlsx","Partial","; Excel file provided via a link with the online version of the published article itself","; Excel file is downloadable from online published article",NA,"Descriptions and units of the variables, coding, authors and contact details; Within the excel, variable names are listed on first sheet and brief descriptions are given for each","Yes"
"MA_041",1,"Ryan Field","No unique and persistent identifier associated with the data","No",NA,"Table within article","Within_article","No","Yes","As part of the article","Yes","Publisher copyright/Rights reserved","No","Yes",".pdf","No","Data is shared directly in the article.","Since the article can be downloaded and the table is within","alternatively, .html could be used but downloading is most common/easy as .pdf","Variable description and units added at the bottom of the table within article","Yes"
"MA_042",1,"Heikel Balti","No unique and persistent identifier associated with the data","No",NA,"Table within article","Within_article","No","Yes","As part of the article","Yes","Publisher copyright/Rights reserved","No","Yes",".pdf","No","Ambiguous case: 
there's no real data that is shared with this article (that I can find). The only material beyond the article is a PDF supplementary table (Table S1) listing the 26 fawn survival studies and indicating with “X” which analyses each study contributed to. For the purposes of this checklist I treated Table S1 as a minimal dataset in “Supplementary materials”, but in practice, I guess this is very close to “Meta-data is not shared”

There is no separate repository record for the metadata. The table has columns headings and footnotes describing each variable, which I interpreted as a minimal metadata.

Here's a link to the publication page, .pdf file can be find in Supporting Information tab, when scrolling: https://wildlife.onlinelibrary.wiley.com/doi/10.1002/jwmg.21456","Since the article can be downloaded and the table is within","alternatively, .html could be used but downloading is most common/easy as .pdf","For each variable: name, description and units.","Yes"
"MA_043",1,"Nicholas Moran","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","No","Meta-data is not shared","Yes","Publisher copyright/Rights reserved","No","No",".csv/tsv","Yes","Data provided in the supporting information on the online published article. It is not mentioned in the pdf version and data accessibility statement.",NA,NA,NA,"Yes"
"MA_044",2,"Alicia Foxx; Edward Ivimey-Cook","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","No","Meta-data is not shared","Yes","Publisher copyright/Rights reserved","No","Yes",".docx","No","Data is in a table in a word doc as SI; In the supp matt as a doc file","Data is in a table in a word doc as SI; It can be but as a doc file with the rest of the supp matt.","Data is in a table in a word doc as SI; ","Variable description and units added at the bottom of each of the provided .docx tables; Variable description and units added at the bottom of each of the provided .docx tables","Yes"
"MA_048",1,"Alicia Foxx","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","No","Meta-data is not shared","Yes","Publisher copyright/Rights reserved","No","No",".csv/tsv","Yes",NA,NA,NA,NA,"Yes"
"MA_050",1,"Losia Lagisz","Digital Object Identifier (DOI)","Yes","10.5061/dryad.2ng06","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","Yes",".xlsx","Partial",NA,NA,NA,"brief description of variables in a Word file named ""README_for_Vidal&Murphy_meta-analysis.doc""","Yes"
"MA_053",1,"Nerea Piñeiro-Juncal","Digital Object Identifier (DOI)","Yes","10.5061/dryad.g2fd2","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","No",".txt","Yes",NA,NA,NA,NA,"Yes"
"MA_054",1,"Alicia Foxx","Digital Object Identifier (DOI)","Yes","10.6084/m9.figshare.12075009.v1","Figshare","Repository","Yes","Yes","As part of the data repository","Yes","CC BY (Attribution)","Yes","Yes",".csv/tsv","Yes",NA,NA,NA,"The dictionary is in a csv and each variable is in a column and the meaning is in a neighboring column","Yes"
"MA_055",1,"Antica Culina","Digital Object Identifier (DOI)","Yes","10.5061/dryad.173r3j7","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","Yes",".xls","Partial",NA,NA,NA,"It is provided under Usage notes on Dryad. It briefly explains each variable","Yes"
"MA_058",2,"Ryan Field; Gabe Winter","Digital Object Identifier (DOI)","Yes","10.5061/dryad.b2t08b6","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","No",".xlsx","Partial",NA,NA,"; Data file name can be a bit confusing regarding the format: ""Meta-anaylsis_DRYAD.docx.xlsx""","NA; NA","Yes"
"MA_059",1,"Losia Lagisz","Digital Object Identifier (DOI)","Yes","10.5281/zenodo.439109","Zenodo","Repository","Yes","Yes","As part of the data repository","Yes","CC BY (Attribution)","Yes","Yes",".csv/tsv;.txt","Yes",NA,NA,NA,"structured description of variables in csv files for different data sets","Yes"
"MA_061",1,"Matt Lloyd Jones","Digital Object Identifier (DOI)","Yes","10.15131/shef.data.11590902","Figshare","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","No",".csv/tsv;.xlsx","Partial","Much of it is very piecemeal e.g. data description, methodology",NA,NA,"""Headings and units are explained in the files"" - by this they just mean that the headings are explicit","Yes"
"MA_063",1,"Ryan Field","Digital Object Identifier (DOI)","Yes","10.6084/m9.figshare.5245150.v2","Figshare","Repository","Yes","Yes","As part of the data repository","Yes","CC BY (Attribution)","Yes","No",".docx;.pdf","No","Figshare available from supplementary material",NA,"Available as both PDF from figshare and docx from supplementary material",NA,"Yes"
"MA_064",2,"Pietro Pollo; Edward Ivimey-Cook","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","No","Meta-data is not shared","Yes","Publisher copyright/Rights reserved","No","Yes",".docx","No","Data were given as a table in a Word document, so column names were descriptive and contained units (e.g. Total NI application (kg/ha)); In the supp matt as a word doc. Unsure if it contains all the necessary data.","; As a word doc - but not sure if its all the data needed.","Supplementary material (appendix 1); ","Column names were descriptive and contained units (e.g. Total NI application (kg/ha)), so maybe a codebook would not be necessary?; NA","Yes"
"MA_065",1,"Gabe Winter","Digital Object Identifier (DOI)","Yes","10.6084/m9.figshare.4958687","Figshare","Repository","Yes","Yes","As part of the data repository","Yes","CC BY (Attribution)","Yes","No",".xlsx","Partial",NA,NA,NA,NA,"Yes"
"MA_068",1,"Antica Culina","Digital Object Identifier (DOI)","Yes","10.6084/m9.figshare.5840784.v1","Figshare","Repository","Yes","Yes","As part of the data repository","Yes","CC BY (Attribution)","Yes","No",".xlsx;.txt","Partial",NA,NA,NA,"There is a readme file that just describes what the files are in general. Also, the column headings of the datasets are quite self explanatory, and can be understood without specific explanation (i think)","Yes"
"MA_070",1,"Nerea Piñeiro-Juncal","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","No","Meta-data is not shared","Yes","Publisher copyright/Rights reserved","No","No",".doc","No",NA,NA,NA,NA,"Yes"
"MA_071",1,"Matt Lloyd Jones","Digital Object Identifier (DOI)","Yes","10.5061/dryad.8kt4675","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","Yes",".xlsx","Partial","Authors title and abstract but not really meta-data on how was collected. Might be ok if in the paper?",NA,NA,"It's a fairly minimal 'data dictionary' or 'code book' provided in the usage notes:

""Foraging mode and prey size in snakes
The data were collected in the field and by dissection of museum specimens. The data are stored in an excel file and the abbreviations means: Prop for proportion, RPM for relative prey mass, and Ba is an index of the dietary breadth of a species
Archived_data.xlsx""

However, this seems to make it possible to interpret all the data, especially given explicit column labels and when combined with the paper?","Yes"
"MA_072",1,"Nicholas Moran","Digital Object Identifier (DOI)","Yes","10.5061/dryad.6rn80","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","No",".csv/tsv","Yes","title, abstract, authors' names, publication details, descriptions of files are all included on the Dryad page",NA,"Data file itself it is .csv for. Appendix also includes a .pdf file listing the source references.","Only general description of the files are provided, so description of the variables","Yes"
"MA_076",1,"Antica Culina","Digital Object Identifier (DOI)","Yes","10.5061/dryad.qv5p3r8","Dryad;Supplementary materials","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","Yes",".xls","Partial","The part of the data that is shared in Dryad is also available within the supplement of the paper.",NA,NA,"In the first sheet of the excel file, they describe the variables","Yes"
"MA_077",1,"Matt Lloyd Jones","Digital Object Identifier (DOI)","Yes","10.5061/dryad.jt48n1c","Dryad","Repository","Yes","Yes","As part of the data repository","Yes","CC0 (Public Domain Dedication)","Yes","No",".pdf","No","They've just pasted title, abstract and authors",NA,"Does sharing as a PDF count as 'accessible'. Dunno not my call - it's a weird format to share data in but giving them the benefit of the doubt that publication year is deployment year, this appears to be a full dataset","I suppose this is where it's needed - to know if publication year is deployment year.","Yes"
"MA_078",2,"Alicia Foxx; Nicholas Moran","No unique and persistent identifier associated with the data","No",NA,"Supplementary materials","Supplements","No","No","Meta-data is not shared","Yes","Publisher copyright/Rights reserved","No","No",".xlsx","Partial","; Data provided as supplementary material linked with online published article.",NA,NA,"NA; NA","Yes"
"MA_080",1,"Edward Ivimey-Cook","No unique and persistent identifier associated with the data","No",NA,"NCBI GenBank;Supplementary materials","Supplements","No","No","Meta-data is not shared","Yes","Publisher copyright/Rights reserved","No","No",".xlsx","Partial",NA,"I can download the xlsx files but not the accession number data (don't know how to)",NA,NA,"Yes"
