Journal,Field,DAS,policy,policyYYYY,policyMM,policyLink,policyEditorial,lastUpdated
ACTA AMAZONICA,Ecology,none,none,NA,NA,https://acta.inpa.gov.br/guia_ingles.php,NA,15-03-2023
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,Ecology,strong,strong,NA,NA,https://www.elsevier.com/journals/acta-oecologica/1146-609x/guide-for-authors#87500,NA,IN PROGRESS
AFRICAN JOURNAL OF ECOLOGY,Ecology,strong,weak,2019,4,https://onlinelibrary.wiley.com/page/journal/13652028/homepage/forauthors.html,https://onlinelibrary.wiley.com/doi/epdf/10.1111/aje.12495,12-05-2023
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,Ecology,weak,weak,NA,NA,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tarf20,NA,12-05-2023
AFRICAN JOURNAL OF WILDLIFE RESEARCH,Ecology,none,none,NA,NA,https://sawma.co.za/scope-and-information/,NA,15-03-2023
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,Ecology,strong,strong,NA,NA,https://www.elsevier.com/journals/agriculture-ecosystems-and-environment/0167-8809/guide-for-authors,NA,IN PROGRESS
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,Evolutionary Biology,strong,weak,2019,3,https://onlinelibrary.wiley.com/page/journal/10968644/homepage/forauthors.html,https://onlinelibrary.wiley.com/doi/full/10.1002/ajpa.23909,12-05-2023
AMERICAN MIDLAND NATURALIST,Ecology,none,none,NA,NA,https://www3.nd.edu/~ammidnat/authors.html,NA,15-03-2023
AMERICAN NATURALIST,Eco/Evo,strong,strong,2010,1,https://www.journals.uchicago.edu/journals/an/instruct?mobileUi=0,https://www.journals.uchicago.edu/doi/full/10.1086/650340,12-06-2021
ANIMAL CONSERVATION,Ecology,weak,weak,2015,NA,https://zslpublications.onlinelibrary.wiley.com/hub/journal/14691795/about/author-guidelines,NA,12-05-2023
ANNALES ZOOLOGICI FENNICI,Ecology,none,weak,NA,NA,http://www.sekj.org/AnnZool.html,NA,12-05-2023
ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS,Eco/Evo,none,none,NA,NA,https://www.annualreviews.org/page/authors/general-information#ecolsys,NA,15-03-2023
ANTHROPOLOGICAL SCIENCE,Evolutionary Biology,strong,weak,NA,NA,http://www.anthropology.jp/english/anthropological_science/173.html,NA,12-05-2023
AOB PLANTS,Ecology,strong,strong,2018,7,https://academic.oup.com/aobpla/pages/General_Instructions,None,12-06-2021
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,Ecology,none,none,NA,NA,http://www.aloki.hu/,NA,15-03-2023
APPLIED VEGETATION SCIENCE,Ecology,strong,strong,NA,NA,https://onlinelibrary.wiley.com/page/journal/1654109x/homepage/forauthors.html,NA,IN PROGRESS
