MA_ID,authors,year,journal,DOI,paperID,Include_exclude,exclusion_explanation,exclusion_category,Clarification
MA_015,"Singh, Amardeep and Punzalan, David",2018,Evolution,10.1111/evo.13625,MRMA_MP_23,include,NA,NA,NA
MA_023,"Feng, Zhaozhong and Shang, Bo and Li, Zhengzhen and Calatayud, Vicent and Agathokleous, Evgenios",2019,Functional Ecology,10.1111/1365-2435.13422,MRMA_MP_35,include,NA,NA,NA
MA_065,"Brisson, Jacques and Rodriguez, Mariana and Martin, Charles A. and Proulx, Raphael",2020,ECOLOGICAL APPLICATIONS,10.1002/eap.2074,MRMA_VD_53,include,NA,NA,NA
MA_069,"Zhang, Yang and Xie, Deti and Ni, Jiupai and Zeng, Xibai",2020,AGRICULTURE ECOSYSTEMS \& ENVIRONMENT,10.1016/j.agee.2020.107003,MRMA_VD_57,include,NA,NA,NA
MA_027,"Beckmann, Michael and Gerstner, Katharina and Akin-Fajiye, Morodoluwa and Ceausu, Silvia and Kambach, Stephan and Kinlock, Nicole L. and Phillips, Helen R. P. and Verhagen, Willem and Gurevitch, Jessica and Klotz, Stefan and Newbold, Tim and Verburg, Peter H. and Winter, Marten and Seppelt, Ralf",2019,GLOBAL CHANGE BIOLOGY,10.1111/gcb.14606,MRMA_VD_5,include,NA,NA,NA
MA_003,"Niv DeMalach, Eli Zaady, Ronen Kadmon",2017,Global Ecology ad Biogeography,10.1111/geb.12603,MRMA_MP_3,include,NA,NA,NA
MA_036,"Janssen, Thomas and Fleischer, Katrin and Luyssaert, Sebastiaan and Naudts, Kim and Dolman, Han",2020,BIOGEOSCIENCES,10.5194/bg-17-2621-2020,MRMA_VD_17,include,NA,NA,NA
MA_016,"Lu, Weizhi and Xiao, Jingfeng and Liu, Fang and Zhang, Yue and Liu, Chang'an and Lin, Guanghui",2017,Global Change Biology,10.1111/gcb.13424,MRMA_MP_24,include,NA,NA,NA
MA_019,"Yue, Kai and Fornara, Dario A. and Yang, Wanqin and Peng, Yan and Li, Zhijie and Wu, Fuzhong and Peng, Changhui",2017,Global Change Biology,10.1111/gcb.13569,MRMA_MP_28,include,NA,NA,NA
MA_007,"Wedekin, L. L. and Engel, M. H. and Andriolo, A. and Prado, P. I. and Zerbini, A. N. and Marcondes, M. M. C. and Kinas, P. G. and Simoes-Lopes, P. C.",2017,MARINE ECOLOGY PROGRESS SERIES,10.3354/meps12211,MRMA_MP_12,include,NA,NA,NA
