MA_ID,title,year_of_publication,GS_date_citations,GS_citations_2016,GS_citations_2017,GS_citations_2018,GS_citations_2019,GS_citations_2020,GS_citations_2021,GS_citations_2022,GS_citations_2023,GS_citations_2024,GS_citations_2025
MA_001,mate guarding and frequent copulation in birds: a meta-analysis of their relationship to paternity and male phenotype,2016,20260112,0,0,5,2,9,6,2,6,9,9
MA_002,ecological and economic benefits of low-intensity urban lawn management,2020,20260112,NA,NA,NA,NA,10,24,29,36,27,42
MA_003,contrasting effects of water and nutrient additions on grassland communities: a global meta-analysis,2017,20260112,NA,2,7,8,9,15,17,9,14,15
MA_004,managing conflict between large carnivores and livestock,2018,20260112,NA,3,21,44,50,76,59,66,40,59
MA_005,soil microbial biomass increases along elevational gradients in the tropics and subtropics but not elsewhere,2020,20260112,NA,NA,NA,NA,2,12,5,11,17,17
MA_006,life after logging in tropical forests of borneo: a meta-analysis,2016,20260112,1,0,8,7,9,11,6,4,5,4
MA_007,running fast in the slow lane: rapid population growth of humpback whales after exploitation,2017,20260112,NA,1,3,7,5,7,5,8,5,4
MA_008,methane and nitrous oxide emissions under no-till farming in china: a meta-analysis,2016,20260112,3,16,12,14,20,20,27,19,29,19
MA_009,do trout respond to riparian change? a meta-analysis with implications for restoration and management,2017,20260112,NA,1,9,11,4,3,4,3,4,4
MA_010,beneficial microbes ameliorate abiotic and biotic sources of stress on plants,2020,20260112,NA,NA,NA,1,7,37,24,31,50,31
MA_011,intertidal invertebrate harvesting: a meta-analysis of impacts and recovery in an important waterbird prey resource,2017,20260112,NA,0,2,4,3,2,3,3,2,0
MA_012,recent introductions reveal differential susceptibility to parasitism across an evolutionary mosaic,2020,20260112,NA,NA,NA,NA,5,8,5,5,2,1
MA_013,potential impact of climate change on parasitism efficiency of egg parasitoids: a meta-analysis of trichogramma under variable climate conditions,2016,20260112,0,10,3,1,3,7,3,6,4,10
MA_014,"assessment of grain quality in terms of functional group response to elevated [co2], water, and nitrogen using a meta-analysis: grain protein, zinc, and iron under future climate",2019,20260112,NA,NA,NA,0,3,2,7,5,4,6
MA_015,the strength of sex-specific selection in the wild,2018,20260112,NA,NA,0,9,5,10,8,6,4,6
MA_016,contrasting ecosystem co2 fluxes of inland and coastal wetlands: a meta-analysis of eddy covariance data,2017,20260112,NA,6,12,17,21,25,28,22,29,28
MA_017,ammonia volatilization from synthetic fertilizers and its mitigation strategies: a global synthesis,2016,20260112,2,18,48,49,92,93,93,87,107,105
MA_018,"trade-off between vegetation type, soil erosion control and surface water in global semi-arid regions: a meta-analysis",2020,20260112,NA,NA,NA,NA,3,24,31,41,58,42
MA_019,effects of three global change drivers on terrestrial c:n:p stoichiometry: a global synthesis,2017,20260112,NA,3,16,28,26,38,48,36,47,31
MA_020,global drivers of tree seedling establishment at alpine treelines in a changing climate,2018,20260112,NA,NA,1,8,15,15,16,23,19,22
MA_021,differential responses of carbon-degrading enzyme activities to warming: implications for soil respiration,2018,20260112,NA,NA,0,7,16,20,47,42,45,45
MA_022,a global meta-analysis of exotic versus native leaf decay in stream ecosystems,2017,20260112,NA,1,2,7,4,5,6,0,1,2
MA_023,ozone will remain a threat for plants independently of nitrogen load,2019,20260112,NA,NA,NA,1,10,12,7,6,7,4
MA_024,a review of urban impacts on avian life-history evolution: does city living lead to slower pace of life?,2018,20260112,NA,NA,13,11,26,22,41,29,28,31
MA_025,how quantitative is metabarcoding: a meta-analytical approach,2019,20260112,NA,NA,NA,13,44,70,72,91,79,91
MA_026,who let the cats out? a global meta-analysis on risk of parasitic infection in indoor versus outdoor domestic cats (felis catus),2019,20260112,NA,NA,NA,1,21,13,14,17,21,14
MA_027,conventional land-use intensification reduces species richness and increases production: a global meta-analysis,2019,20260112,NA,NA,NA,5,21,48,49,58,66,57
MA_028,diversity–disturbance relationship in forest landscapes,2016,20260112,1,5,2,5,5,5,6,3,3,5
MA_029,a meta-analysis of band reporting probabilities for north american waterfowl,2020,20260112,NA,NA,NA,NA,1,5,7,6,4,12
MA_030,correlation of native and exotic species richness: a global meta-analysis finds no invasion paradox across scales,2019,20260112,NA,NA,NA,9,15,24,31,24,37,21
MA_031,meta-analysis reveals enhanced growth of marine harmful algae from temperate regions with warming and elevated co2 levels,2019,20260112,NA,NA,NA,2,9,11,28,22,24,27
MA_032,a meta-analysis of nestedness and turnover components of beta diversity across organisms and ecosystems,2018,20260112,NA,NA,19,50,48,77,91,71,86,107
MA_033,resolving the invasion paradox: pervasive scale and study dependence in the native-alien species richness relationship,2019,20260112,NA,NA,NA,0,4,10,13,10,14,8
MA_034,ecological intensification and arbuscular mycorrhizas: a meta-analysis of tillage and cover crop effects,2017,20260112,1,8,20,30,25,46,55,55,40,44
MA_035,the heritability of behavior: a meta-analysis,2019,20260112,NA,NA,NA,8,19,32,45,23,39,34
MA_036,"drought resistance increases from the individual to the ecosystem level in highly diverse neotropical rainforest: a meta-analysis of leaf, tree and ecosystem responses to drought",2020,20260112,NA,NA,NA,NA,0,7,6,3,6,5
MA_037,how general is cognitive ability in non-human animals? a meta-analytical and multi-level reanalysis approach,2020,20260112,NA,NA,NA,NA,0,9,15,9,10,8
MA_038,plant type dominates fine-root c:n:p stoichiometry across china: a meta-analysis,2020,20260112,NA,NA,NA,NA,1,8,12,15,8,10
MA_039,soil ghg fluxes are altered by n deposition: new data indicate lower n stimulation of the n2o flux and greater stimulation of the calculated c pools,2020,20260112,NA,NA,NA,NA,7,23,44,30,38,39
MA_040,global patterns in the effects of predator declines on sea urchins,2017,20260112,NA,0,2,5,6,8,2,4,10,7
MA_041,spotted owls and forest fire: a systematic review and meta-analysis of the evidence,2018,20260112,NA,NA,0,9,5,8,8,0,4,9
MA_042,landscape-level patterns in fawn survival across north america,2018,20260112,NA,NA,3,5,6,7,9,8,4,7
MA_043,quantifying the influence of urban land use on mangrove biology and ecology: a meta-analysis,2017,20260112,NA,0,7,11,8,16,15,10,14,10
MA_044,"conversion of coastal wetlands, riparian wetlands, and peatlands increases greenhouse gas emissions: a global meta-analysis",2020,20260112,NA,NA,NA,NA,6,26,30,36,48,53
MA_045,a meta-analysis on the effects of climate change on the yield and quality of european pastures,2018,20260112,NA,NA,1,1,10,14,15,9,14,18
MA_046,long-term nitrogen fertilization decreases bacterial diversity and favors the growth of actinobacteria and proteobacteria in agro-ecosystems across the globe,2018,20260112,NA,NA,0,23,38,95,128,151,164,194
MA_047,modeling nitrous oxide emission from rivers: a global assessment,2016,20260112,0,6,11,18,17,26,26,29,37,24
MA_048,challenging a 15-year-old claim: the north atlantic oscillation index as a predictor of spring migration phenology of birds,2018,20260112,NA,NA,2,9,13,6,10,4,5,4
MA_049,soil carbon sequestration rates under mediterranean woody crops using recommended management practices: a meta-analysis,2016,20260112,0,8,14,20,31,38,37,24,31,32
MA_050,bottom-up vs. top-down effects on terrestrial insect herbivores: a meta-analysis,2018,20260112,NA,NA,25,33,28,41,43,48,58,37
MA_051,grazing intensity significantly changes the c : n : p stoichiometry in grassland ecosystems,2020,20260112,NA,NA,NA,NA,6,13,22,27,29,28
MA_052,patterns of coexistence between two mesocarnivores in northern patagonia in the presence of invasive hares and anthropogenic disturbance,2016,20260112,0,0,1,1,4,4,4,4,2,2
MA_053,is there a correlation between abundance and environmental suitability derived from ecological niche modelling? a meta-analysis,2017,20260112,1,9,22,33,34,39,44,40,38,43
MA_054,the effects of livestock grazing on biodiversity are multitrophic: a meta-analysis,2020,20260112,NA,NA,NA,NA,4,26,48,73,72,80
MA_055,mycorrhizal symbiosis increases the benefits of plant facilitative interactions,2019,20260112,NA,NA,NA,4,6,8,7,10,7,8
MA_056,sound the alarm: a meta-analysis on the effect of aquatic noise on fish behavior and physiology,2018,20260112,NA,NA,2,13,26,31,22,23,25,44
MA_057,responses of arbuscular mycorrhizal fungi to nitrogen addition: a meta-analysis,2020,20260112,NA,NA,NA,NA,0,11,40,49,34,54
MA_058,quantifying the impact of pesticides on learning and memory in bees,2018,20260112,NA,NA,2,20,30,31,34,38,37,27
