MA_ID,data_shared,processed_data_shared,processed_data_shared_location,processed_data_links,processed_data_number_of_links,processed_data_chosen_link,raw_data_shared,raw_data_shared_location,raw_data_links,raw_data_number_of_links,raw_data_chosen_link,code_shared,code_shared_location,code_links,code_number_of_links,code_chosen_link,data_and_code_sharing_comments,observer_disagreement
MA_001,Yes,Yes,Supporting Information Table S1,NA,0,https://doi.org/10.5061/dryad.qv000,No,NA,NA,0,NA,No,NA,NA,0,NA,NA,inferential_statistics; code_shared
MA_001,Yes,Yes,doi.org/10.5061/dryad.qv000,doi.org/10.5061/dryad.qv000,1,https://doi.org/10.5061/dryad.qv000,No,NA,,0,NA,Yes,doi.org/10.5061/dryad.qv000,doi.org/10.5061/dryad.qv000,1,https://doi.org/10.5061/dryad.qv000,NA,inferential_statistics; code_shared
MA_002,Yes,Yes,https://borealisdata.ca/file.xhtml?fileId=84642&version=1.0,https://borealisdata.ca/file.xhtml?fileId=84642&version=1.0,1,https://borealisdata.ca/file.xhtml?fileId=84642&version=1.0,Yes,https://borealisdata.ca/file.xhtml?fileId=84642&version=1.0,https://borealisdata.ca/file.xhtml?fileId=84642&version=1.0,1,https://borealisdata.ca/file.xhtml?fileId=84642&version=1.0,No,NA,,0,NA,NA,processed_data_shared
MA_002,Yes,No,NA,,0,NA,Yes,https://doi.org/10.5683/SP2/RRJTEN,https://doi.org/10.5683/SP2/RRJTEN,1,https://doi.org/10.5683/SP2/RRJTEN,No,NA,,0,NA,Use of transformed mean (Hedges G),processed_data_shared
MA_003,Yes,Yes,https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.12603,https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.12603,1,https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.12603,Yes,https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.12603,https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.12603,1,https://onlinelibrary.wiley.com/doi/abs/10.1111/geb.12603,No,NA,,0,NA,Used r but code not available,NA
MA_004,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,NA
MA_005,Yes,No,NA,,0,NA,Yes,https://datadryad.org/dataset/doi:10.5061/dryad.nc57k7g,https://datadryad.org/dataset/doi:10.5061/dryad.nc57k7g,1,https://datadryad.org/dataset/doi:10.5061/dryad.nc57k7g,No,NA,,0,NA,NA,NA
MA_006,Yes,Yes,Supplementary Table S1; https://www.sciencedirect.com/science/article/pii/S0006320716300623,https://www.sciencedirect.com/science/article/pii/S0006320716300623,1,https://www.sciencedirect.com/science/article/pii/S0006320716300623,Yes,"Supplementary Table S1, S2, S3, S4; https://www.sciencedirect.com/science/article/pii/S0006320716300623",https://www.sciencedirect.com/science/article/pii/S0006320716300623,1,https://www.sciencedirect.com/science/article/pii/S0006320716300623,No,NA,,0,NA,"Authors included reported counts and correct counts, as well as coded moderators and effect size (abundance in logged/total abundance) in supplementary table S1",effect_size_sign_accounted; inferential_statistics; raw_data_shared
MA_006,Yes,Yes,http://dx.doi.org/10.1016/j.biocon.2016.02.020,http://dx.doi.org/10.1016/j.biocon.2016.02.020,1,https://http://dx.doi.org/10.1016/j.biocon.2016.02.020,No,NA,,0,NA,No,NA,,0,NA,"I think they only shared data that has been transformed to the same units: ""In many cases, abundances were reported as corrected for the relative time spent surveying logged versus unlogged tropical forest (e.g., individuals per km2 or number of detec- tions per number of trap nights; see online Supplementary Table S1 for detailed study specific information) To include these data in the meta-analysis, corrected abundances were back-transformed to counts in logged and unlogged forest representative of the total sample size un- derlying that comparison (Eq. (1)). This approach allowed for a meta- analysis at the most primary level of the data possible and could be regarded more as a re-analysis across studies rather than classic meta- analysis (Nakagawa and Cuthill, 2007), in which secondary outputs from individual studies are summarized using effect sizes and their as- sociated sampling variances."" Also the total abundance values used in the formula for effect size are not there.",effect_size_sign_accounted; inferential_statistics; raw_data_shared
MA_007,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,used R,effect_size_sign_accounted; inferential_statistics; processed_data_shared; data_shared
MA_007,Yes,Yes,https://www.int-res.com/abstracts/meps/v575/meps12211 Figure S5,https://www.int-res.com/abstracts/meps/v575/meps12211,1,https://www.int-res.com/abstracts/meps/v575/meps12211,No,NA,,0,NA,No,NA,,0,NA,"Coded that raw data is not provided becouse they sometimes have culculated SE from CI, but CI are not shown anywhere: ""Because many of these studies only reported the CIs of the parameter estimates as error measures, we calculated an approximate normal standard error estimate using the 95% CIs with the following equation: SE = (upper CI − lower CI) / 3.92. "" Also, the processed data is only shown in a figure and not deposited anywhere - I still coded it as yes, as actual numbers are shown and can be extracted from the figure.",effect_size_sign_accounted; inferential_statistics; processed_data_shared; data_shared
MA_008,Yes,No,NA,NA,0,NA,Yes,https://onlinelibrary.wiley.com/doi/10.1111/gcb.13185,https://onlinelibrary.wiley.com/doi/10.1111/gcb.13185,1,https://onlinelibrary.wiley.com/doi/10.1111/gcb.13185,No,NA,NA,0,NA,NA,effect_size_sign_accounted; inferential_statistics; raw_data_shared; data_shared
MA_008,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,They provide basic metadata in the SM,effect_size_sign_accounted; inferential_statistics; raw_data_shared; data_shared
MA_009,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,RoB_assessment
MA_009,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,RoB_assessment
